"","id","X","region","takeup_survey","age","agpop","educ","rice_inc","ricearea_2010","disaster_loss","insurance_repay","insurance_buy","disaster_prob","general_trust","male","default","delay","intensive","info_takeup_rate","info_takeup_list","info_none","understanding","day","risk_averse","literacy","educ_good","reveal","disaster_yes","address","village","group","ricearea_2010_per_capita","membership","assignment"
"37",1111162,37,1,1,60,6,1,90,8.5,20,0,1,0,0,1,1,0,0,0,0,1,NA,2,0,1,0,0,1,55,12,12,1.41666666666667,7,4
"38",1111163,38,1,1,60,5,1,90,5,30,1,1,20,0,1,1,0,0,0,0,1,0.60000002,2,1,1,0,0,1,55,12,10,1,7,2
"39",1111164,39,1,1,54,4,1,100,4.1,NA,0,0,30,1,1,1,0,1,0,0,1,0.60000002,2,0.39999998,1,0,0,0,55,12,9,1.025,7,4
"40",1111165,40,1,1,53,4,1,100,4.1,50,1,0,20,1,1,1,0,0,0,0,1,0,2,0,1,0,1,1,55,12,9,1.025,7,3
"41",1111166,41,1,1,44,4,2,100,4.1,10,0,0,50,1,1,1,1,0,1,0,0,1,6,0,1,1,NA,1,55,12,9,1.025,7,2
"42",1111169,42,1,1,73,4,2,100,5.8,70,1,0,30,1,1,1,0,1,0,0,1,0.2,2,0,1,1,1,1,55,12,11,1.45,7,2
"43",1111170,43,1,1,60,6,1,20,6,30,0,0,50,1,1,1,1,0,0,0,1,0.60000002,6,0,1,0,NA,1,55,12,10,1,7,1
"44",1111171,44,1,0,71,12,4,100,14,30,1,1,0,1,1,1,1,1,0,0,1,0,6,0,1,1,NA,1,55,12,10,1.16666666666667,7,4
"45",1111173,45,1,0,78,2,0,10,5.2,NA,0,0,30,1,1,1,0,0,0,0,1,0,2,0.2,0,0,NA,NA,55,12,11,2.6,7,1
"46",1111174,46,1,1,44,6,1,90,17,30,1,0,20,1,1,1,1,0,0,0,1,0.60000002,6,0,1,0,NA,1,55,12,12,2.83333333333333,7,3
"47",1111175,47,1,0,50,4,1,80,5.3,30,0,0,50,0,1,1,0,1,0,0,1,0,2,0.19999999,1,0,0,1,55,12,11,1.325,7,4
"48",1111176,48,1,1,59,6,1,70,5,NA,0,0,40,0,1,1,1,1,1,0,0,0,6,0,1,0,NA,0,55,12,10,0.833333333333333,7,3
"49",1111177,49,1,1,47,5,1,100,9,50,0,0,50,0,1,1,1,1,0,0,1,1,6,0.19999999,1,0,NA,1,55,12,12,1.8,7,2
"50",1111178,50,1,1,77,6,1,100,14.2,NA,1,1,30,1,1,1,1,0,0,0,1,0.60000002,6,0.19999999,1,0,NA,0,55,12,12,2.36666666666667,7,1
"51",1111179,51,1,0,34,10,2,NA,5,60,0,0,30,1,1,1,1,0,0,1,0,0.2,6,0,1,1,NA,1,55,12,10,0.5,7,2
"52",1111184,52,1,1,43,4,2,40,5,10,1,0,10,1,1,1,0,1,0,0,1,0.2,2,1,1,1,0,1,55,12,11,1.25,7,3
"53",1111185,53,1,1,65,6,1,25,6.5,30,0,0,50,1,1,1,0,1,0,0,1,0.80000001,2,0,1,0,0,1,55,12,10,1.08333333333333,7,1
"54",1111186,54,1,0,61,5,1,60,4,NA,1,1,30,1,1,1,1,1,0,0,1,0.60000002,6,0,1,0,NA,0,55,12,10,0.8,7,4
"55",1111187,55,1,1,45,5,3,80,32,NA,0,0,50,1,1,1,0,0,0,0,1,0.2,2,1,1,1,0,0,55,12,12,6.4,7,4
"56",1111190,56,1,1,70,6,0,80,20,NA,1,0,20,1,1,1,0,0,0,0,1,NA,2,0,0,0,1,0,55,12,12,3.33333333333333,7,3
"57",1111191,57,1,0,43,5,0,60,5.93,NA,0,0,30,1,0,1,0,0,0,0,1,0,2,0.19999999,0,0,NA,0,55,12,12,1.186,7,2
"58",1111194,58,1,1,54,5,1,100,6,20,1,0,20,1,1,1,0,1,0,0,1,0,2,0,1,0,0,1,55,12,12,1.2,7,1
"59",1111196,59,1,0,46,4,1,NA,6.3,40,0,0,50,1,1,1,1,0,0,1,0,0.40000001,6,0,1,0,NA,1,55,12,11,1.575,7,2
"60",1111197,60,1,0,41,4,2,60,3.8,NA,1,0,40,1,1,1,0,1,0,0,1,0,2,0,1,1,0,0,55,12,9,0.95,7,1
"61",1111201,61,1,0,58,4,0,60,1.5,NA,0,0,30,1,1,1,1,1,0,0,1,0.60000002,6,0,0,0,NA,0,55,12,9,0.375,7,4
"62",1111202,62,1,1,53,10,1,100,8,20,1,0,20,1,1,1,0,1,0,0,1,0.2,2,0,1,0,0,1,55,12,10,0.8,7,3
"63",1111203,63,1,0,49,5,1,90,12,30,0,0,30,1,1,1,1,1,0,0,1,1,6,0,1,0,NA,1,55,12,12,2.4,7,4
"64",1111205,64,1,0,54,7,1,90,10,40,1,0,20,1,1,1,1,1,0,0,1,0,6,0,1,0,NA,1,55,12,12,1.42857142857143,7,3
"65",1111207,65,1,0,55,5,1,NA,7,60,0,0,50,1,1,1,1,0,0,1,0,0.60000002,6,0,1,0,NA,1,55,12,12,1.4,7,2
"66",1111208,66,1,0,55,6,2,100,4.5,20,1,0,40,0,1,1,0,1,0,0,1,0.2,2,1,1,1,0,1,55,12,10,0.75,7,2
"67",1111209,67,1,0,73,10,0,100,3,NA,0,0,30,1,1,1,1,1,0,0,1,0.60000002,6,0,0,0,NA,0,55,12,10,0.3,7,1
"68",1111211,68,1,1,39,4,2,100,1.48,40,1,0,20,1,1,1,0,0,0,0,1,0,2,0,1,1,0,1,56,12,14,0.37,7,4
"69",1111212,69,1,0,37,4,1,15,1,NA,0,0,30,1,1,1,1,0,0,1,0,1,6,0,1,0,NA,0,56,12,14,0.25,7,3
"70",1111214,70,1,1,37,4,1,NA,2.4,NA,1,0,0,1,1,1,0,1,0,0,1,NA,2,0.39999998,1,0,0,0,56,12,14,0.6,7,2
"71",1111216,71,1,1,43,4,2,70,15,NA,0,0,50,1,1,1,1,0,1,0,0,0.80000001,6,0,1,1,NA,NA,56,12,16,3.75,7,4
"72",1111218,72,1,1,55,10,1,40,4.9,20,1,0,40,1,1,1,0,0,0,0,1,0,2,0,1,0,NA,1,56,12,14,0.49,7,1
"73",1111221,73,1,1,61,6,3,30,4,NA,0,0,50,1,1,1,1,0,1,0,0,0.40000001,6,0,1,1,NA,0,56,12,16,0.666666666666667,7,3
"74",1111222,74,1,1,66,2,1,60,3,50,1,0,20,0,1,1,0,0,0,0,1,0.60000002,2,1,1,0,1,1,56,12,15,1.5,7,4
"75",1111223,75,1,1,58,5,1,40,3,50,0,0,30,1,0,1,1,0,1,0,0,1,6,0,1,0,NA,1,56,12,14,0.6,7,4
"76",1111225,76,1,1,63,8,1,NA,3.4,NA,1,0,30,1,1,1,0,1,0,0,1,0.2,2,0,1,0,0,NA,56,12,14,0.425,7,3
"77",1111228,77,1,1,46,5,2,70,15,NA,0,0,50,1,1,1,1,1,0,1,0,1,6,0,1,1,NA,NA,56,12,16,3,7,2
"78",1111229,78,1,0,34,5,1,30,2,NA,0,1,0,1,1,1,1,1,0,0,1,0.40000001,6,1,1,0,NA,0,56,12,14,0.4,7,2
"79",1111230,79,1,0,68,10,0,40,3.8,90,0,0,50,1,1,1,1,1,0,0,1,1,6,0,0,0,NA,1,56,12,14,0.38,7,1
"80",1111232,80,1,1,46,3,3,100,15,10,1,0,0,1,1,1,0,1,0,0,1,0.2,2,0,1,1,0,1,56,12,15,5,7,3
"81",1111235,81,1,1,46,5,2,90,5,20,0,0,30,1,1,1,0,1,0,0,1,0.80000001,2,0,1,1,0,1,56,12,16,1,7,1
"82",1111238,82,1,0,52,5,1,100,3.7,NA,0,0,20,0,1,1,1,1,1,0,0,0.60000002,6,0,1,0,NA,0,56,12,16,0.74,7,4
"83",1111239,83,1,1,63,3,2,60,10,NA,0,0,50,1,1,1,1,1,1,0,0,1,6,0,1,1,NA,NA,56,12,15,3.33333333333333,7,2
"84",1111240,84,1,1,68,11,1,30,5,65,0,0,20,1,1,1,0,0,0,0,1,0,2,0,1,0,1,1,56,12,14,0.454545454545455,7,4
"85",1111241,85,1,1,60,4,0,90,1.8,20,0,0,50,0,1,1,0,1,0,0,1,0.80000001,2,0,0,0,1,1,56,12,14,0.45,7,3
"86",1111242,86,1,0,72,10,0,100,0.9,NA,1,1,10,1,1,1,1,0,0,0,1,0.60000002,6,0,0,0,NA,0,56,12,14,0.09,7,2
"87",1111243,87,1,0,66,11,1,60,15,NA,0,0,0,1,1,1,1,1,0,0,1,0.60000002,6,0,1,0,NA,0,56,12,16,1.36363636363636,7,3
"88",1111244,88,1,1,48,6,1,100,5.8,30,1,0,20,1,1,1,0,0,0,0,1,0.80000001,2,0,1,0,0,1,56,12,16,0.966666666666667,7,2
"89",1111245,89,1,0,74,4,0,100,24,NA,0,0,10,1,1,1,1,1,0,0,1,0.2,6,0.39999998,0,0,NA,1,56,12,16,6,7,1
"90",1111246,90,1,0,39,5,1,40,1.98,NA,0,0,40,1,1,1,1,0,1,0,0,0.2,6,0.39999998,1,0,NA,0,56,12,14,0.396,7,1
"91",1111249,91,1,1,54,3,1,70,7,NA,0,0,50,1,1,1,1,1,0,0,1,1,6,0,1,0,NA,0,56,12,15,2.33333333333333,7,1
"92",1111250,92,1,1,57,3,1,100,3.3,5,1,0,20,1,1,1,0,0,0,0,1,0.40000001,2,0,1,0,1,1,56,12,15,1.1,7,4
"93",1111251,93,1,1,31,4,2,20,2,NA,0,0,30,1,1,1,0,1,0,0,1,0.80000001,2,0.39999998,1,1,0,0,56,12,14,0.5,7,4
"94",1111252,94,1,1,38,4,1,15,1.3,NA,1,1,20,1,1,1,1,0,0,1,0,0.60000002,6,0,1,0,NA,0,56,12,14,0.325,7,3
"95",1111253,95,1,1,41,4,1,40,1.8,30,0,0,50,1,1,1,0,1,0,0,1,0.60000002,2,0,1,0,0,1,56,12,14,0.45,7,2
"96",1111254,96,1,1,69,3,0,NA,2,20,1,0,40,1,1,1,0,1,0,0,1,0,6,0,0,0,0,1,56,12,15,0.666666666666667,7,3
"97",1111255,97,1,1,47,4,1,70,15,NA,0,0,50,1,1,1,1,0,0,1,0,0.80000001,6,0,1,0,NA,NA,56,12,16,3.75,7,4
"98",1111257,98,1,0,24,6,2,NA,1,NA,1,1,20,1,1,1,1,1,1,0,0,0.80000001,6,0.80000001,1,1,NA,NA,56,12,14,0.166666666666667,7,1
"99",1111258,99,1,0,60,2,1,30,3,10,0,0,30,1,1,1,1,0,0,0,1,0.60000002,6,0,1,0,NA,1,56,12,15,1.5,7,2
"100",1111259,100,1,1,24,3,4,40,3.7,NA,1,1,20,0,1,1,1,1,0,0,1,0.60000002,6,0,1,1,NA,0,56,12,15,1.23333333333333,7,1
"101",1111260,101,1,1,37,4,2,60,1.62,30,0,0,30,1,1,1,0,1,0,0,1,0.80000001,2,1,1,1,0,1,56,12,14,0.405,7,4
"102",1111261,102,1,0,40,4,1,20,1.9,25,1,0,100,0,1,1,0,0,0,0,1,0,2,0,1,0,0,1,56,12,14,0.475,7,3
"103",1111262,103,1,0,46,4,1,100,2.7,NA,0,0,50,1,1,1,1,0,0,0,1,0.40000001,6,1,1,0,NA,0,56,12,16,0.675,7,3
"104",1111263,104,1,1,43,4,1,20,2,30,1,0,20,0,1,1,1,1,0,1,0,0.60000002,6,0,1,0,NA,1,56,12,14,0.5,7,2
"105",1111265,105,1,1,57,5,1,35,4.7,30,0,0,30,0,1,1,1,1,0,1,0,0.60000002,6,0,1,0,NA,1,56,12,16,0.94,7,2
"106",1111268,106,1,1,67,8,2,60,22.5,30,1,0,20,1,1,1,0,1,0,0,1,0.60000002,2,1,1,1,0,1,56,12,16,2.8125,7,1
"107",1111269,107,1,1,45,9,0,100,20,25,0,0,0,1,0,1,0,0,0,0,1,0.2,2,0.80000001,0,0,0,1,56,12,16,2.22222222222222,7,4
"108",1111270,108,1,1,45,7,2,90,16,NA,0,1,0,1,1,1,1,0,0,0,1,0.60000002,6,0.80000001,1,1,NA,1,56,12,16,2.28571428571429,7,3
"109",1111311,109,1,1,45,5,1,18,2,NA,0,0,50,0,1,0,1,1,0,0,1,1,4,0.39999998,1,0,NA,0,58,12,18,0.4,7,4
"110",1111313,110,1,0,40,4,1,20,3,NA,1,1,20,1,1,0,1,1,1,0,0,0.60000002,4,1,1,0,NA,0,58,12,19,0.75,7,4
"111",1111314,111,1,0,57,5,2,70,1.5,NA,0,0,30,1,1,0,0,0,0,0,1,0,2,0.19999999,1,1,0,0,58,12,18,0.3,7,3
"112",1111316,112,1,0,41,4,2,20,1.5,30,1,0,10,0,1,0,0,1,0,0,1,0.40000001,2,0,1,1,0,1,58,12,17,0.375,7,4
"113",1111318,113,1,0,53,4,1,20,2,20,1,1,30,1,1,0,0,0,0,0,1,0.2,2,0,1,0,0,1,58,12,17,0.5,7,3
"114",1111321,114,1,1,70,6,1,70,12,NA,1,1,40,1,1,0,1,0,1,0,0,0.60000002,4,0.60000002,1,0,NA,NA,58,12,20,2,7,4
"115",1111322,115,1,1,42,6,1,70,15,NA,0,0,50,1,1,0,1,1,0,1,0,1,4,0,1,0,NA,NA,58,12,20,2.5,7,3
"116",1111323,116,1,0,66,8,0,90,1.5,20,1,0,20,0,1,0,0,0,0,0,1,0,2,0,0,0,1,1,58,12,18,0.1875,7,2
"117",1111329,117,1,0,54,6,1,40,4,5,0,0,30,1,1,0,1,0,0,1,0,1,4,0,1,0,NA,1,58,12,20,0.666666666666667,7,2
"118",1111332,118,1,1,40,4,3,40,7,80,1,0,30,0,1,0,1,0,0,1,0,0.60000002,4,0,1,1,NA,1,58,12,19,1.75,7,3
"119",1111333,119,1,1,53,5,2,100,30,10,0,0,50,1,1,0,1,0,1,0,0,1,4,0,1,1,NA,1,58,12,20,6,7,1
"120",1111334,120,1,0,61,6,1,30,1,NA,1,0,20,1,1,0,0,1,0,0,1,0,2,0,1,0,1,0,58,12,18,0.166666666666667,7,1
"121",1111342,121,1,0,33,4,2,80,18,NA,1,1,20,1,1,0,0,0,0,0,1,NA,2,0.80000001,1,1,NA,NA,58,12,19,4.5,7,2
"122",1111345,122,1,1,44,4,0,40,3,50,0,0,30,1,1,0,1,0,0,0,1,0.40000001,4,0.60000002,0,0,NA,1,58,12,19,0.75,7,1
"123",1111347,123,1,0,NA,4,1,20,2,50,0,1,70,0,1,0,0,0,0,0,1,0.80000001,2,0,1,0,0,1,58,12,17,0.5,7,2
"124",1111348,124,1,0,35,3,0,70,15,NA,0,0,50,1,1,0,0,1,0,0,1,NA,2,0.40000001,0,0,NA,NA,58,12,19,5,7,4
"125",1111349,125,1,1,71,10,1,100,1,NA,1,1,40,1,1,0,0,1,0,0,1,0.60000002,2,1,1,0,0,0,58,12,18,0.1,7,4
"126",1111355,126,1,1,43,3,3,70,15,NA,0,0,50,1,1,0,1,0,0,0,1,1,4,0.2,1,1,NA,NA,58,12,19,5,7,3
"127",1111356,127,1,0,40,3,1,40,1,NA,0,0,20,1,1,0,1,1,0,0,1,0.2,4,0,1,0,NA,0,58,12,17,0.333333333333333,7,1
"128",1111362,128,1,0,65,5,0,95,2.6,15,0,0,30,1,1,0,1,1,0,1,0,0.2,4,0,0,0,NA,1,58,12,18,0.52,7,3
"129",1111363,129,1,0,56,5,0,70,12,25,0,0,20,0,1,0,0,0,0,0,1,0.2,2,0.39999998,0,0,0,1,58,12,20,2.4,7,4
"130",1111364,130,1,0,53,6,2,30,4,20,0,0,50,0,1,0,1,0,1,0,0,1,4,0,1,1,NA,1,58,12,20,0.666666666666667,7,3
"131",1111369,131,1,0,54,10,0,60,5,50,0,0,70,1,1,0,1,0,1,0,0,0,3,0,0,0,NA,1,58,12,18,0.5,7,2
"132",1111370,132,1,0,51,5,2,70,0.7,NA,0,0,30,1,1,0,0,0,0,0,1,0,2,0.19999999,1,1,0,0,58,12,18,0.14,7,1
"133",1111371,133,1,0,60,7,0,100,2,20,1,0,20,1,1,0,1,0,0,1,0,0,4,0,0,0,NA,1,58,12,18,0.285714285714286,7,4
"134",1111372,134,1,0,45,5,1,20,4,16,0,0,30,0,1,0,0,1,0,0,1,0,2,0,1,0,NA,1,58,12,20,0.8,7,2
"135",1111374,135,1,0,45,4,0,60,2,40,1,0,20,1,1,0,1,0,0,0,1,0.60000002,4,0,0,0,NA,1,58,12,17,0.5,7,4
"136",1111375,136,1,0,37,4,1,20,3,20,0,0,70,1,1,0,1,1,0,0,1,0.60000002,4,0.39999998,1,0,NA,1,58,12,19,0.75,7,2
"137",1111376,137,1,0,48,4,1,15,1.8,NA,0,0,0,0,1,0,1,0,0,0,1,0.60000002,3,0,1,0,NA,0,58,12,17,0.45,7,3
"138",1111378,138,1,0,50,5,3,100,27,NA,0,0,50,1,0,0,1,1,1,0,0,0.40000001,4,0.39999998,1,1,NA,1,58,12,20,5.4,7,1
"139",1111379,139,1,0,29,5,3,100,17,NA,1,1,20,1,1,0,1,0,0,1,0,0.2,4,0.39999998,1,1,NA,1,58,12,20,3.4,7,4
"140",1111380,140,1,0,36,4,1,30,8,NA,0,0,30,1,1,1,1,1,1,0,0,0.2,4,0,1,0,NA,0,59,12,24,2,7,4
"141",1111382,141,1,1,44,4,2,100,3,3,0,1,70,1,1,1,0,1,0,0,1,0.60000002,4,0,1,1,0,1,59,12,22,0.75,7,4
"142",1111383,142,1,1,47,5,2,40,3,30,0,1,70,1,1,1,0,1,0,0,1,0.80000001,4,0,1,1,0,1,59,12,22,0.6,7,3
