"","V1","V2","V3","V4","V5","V6","V7","V8"
"152",1111411,0,1,0,0,0,0,1
"153",1111415,0,0,0,0,0,0,0
"154",1111416,0,1,0,0,0,1,0
"155",1111417,0,1,0,0,1,0,1
"156",1111418,1,1,1,1,1,1,1
"157",1111419,0,0,0,0,0,0,0
"158",1111422,0,0,0,0,0,0,0
"159",1111423,0,0,0,0,0,0,0
"160",1111424,0,0,0,0,0,0,0
"161",1111425,1,1,1,0,1,1,1
"162",1111432,0,0,0,0,0,0,0
"163",1111435,0,1,0,0,0,1,1
"164",1111436,1,1,1,1,1,1,1
"165",1111442,0,0,0,0,0,0,0
"166",1111443,0,0,0,0,0,0,0
"167",1111446,0,1,0,1,1,1,1
"168",1111448,1,1,1,1,1,1,1
"169",1111453,1,1,1,1,1,1,1
"170",1111454,1,1,1,1,1,1,1
"171",1111455,0,0,0,0,0,0,0
"172",1112082,1,1,1,1,1,1,1
"173",1112084,0,1,0,1,1,1,1
"174",1112085,0,0,0,0,0,0,1
"175",1112086,0,1,0,0,0,1,0
"176",1112089,0,1,0,0,1,1,1
"177",1112090,1,1,1,1,1,1,1
"178",1112093,0,0,0,0,0,0,0
"179",1112099,0,0,0,0,0,0,0
"180",1112100,1,1,1,1,1,1,1
"181",1112101,0,1,0,0,0,1,0
"182",1112102,0,1,0,0,0,1,0
"183",1112103,0,0,0,0,0,0,0
"184",1112104,1,1,1,0,0,1,1
"185",1112106,0,1,0,0,0,1,1
"186",1112108,0,0,0,0,0,0,0
"187",1112110,0,0,0,0,0,0,0
"188",1112115,0,0,0,0,0,0,0
"189",1112116,0,1,0,0,1,0,1
"190",1112118,0,0,0,0,0,0,0
"191",1112124,0,0,0,0,0,0,0
"192",1112130,1,1,1,1,1,1,1
"193",1112133,0,1,0,0,0,0,1
"194",1112134,0,0,0,0,0,0,0
"195",1112138,1,1,1,0,0,1,1
"196",1112141,1,1,1,0,0,1,1
"197",1112143,0,0,0,0,0,0,0
"198",1112146,0,0,0,0,0,0,0
"199",1112149,1,1,1,1,1,1,1
"200",1112151,0,1,0,1,1,1,1
"201",1112152,1,1,1,0,1,1,1
"202",1112159,0,0,0,0,0,0,0
"203",1112160,0,1,0,1,1,1,0
"204",1112161,1,1,1,1,1,1,1
"205",1112162,0,0,0,0,0,0,0
"206",1112163,0,1,0,0,0,1,1
"207",1112165,0,0,0,0,0,1,1
"208",1112166,0,0,0,0,0,0,0
"209",1112167,0,0,0,0,0,0,1
"210",1112168,0,0,0,0,0,0,0
"211",1112170,0,1,0,0,0,1,0
"212",1112171,0,0,0,0,0,0,0
"213",1112172,0,0,0,0,0,0,0
"214",1112178,1,1,1,1,1,1,1
"215",1112180,1,1,1,1,1,1,1
"216",1112182,1,1,1,1,1,1,0
"217",1112183,1,1,1,1,1,1,1
"218",1112186,0,1,0,0,0,1,0
"219",1112188,1,1,1,1,1,1,1
"220",1112189,0,1,0,0,0,1,0
"221",1112192,1,1,1,1,1,1,1
"222",1112193,0,0,0,0,0,0,0
"223",1112194,0,0,0,0,0,0,0
"224",1112195,0,0,0,0,0,0,1
"225",1112197,0,0,0,0,0,0,1
"226",1112203,1,1,1,1,1,1,1
"227",1112208,1,1,1,1,1,1,1
"228",1112214,0,1,0,0,0,1,0
"229",1112216,0,1,1,0,0,1,1
"230",1112217,0,0,0,0,0,0,0
"231",1112221,0,0,0,0,0,0,1
"232",1112223,1,1,1,1,1,1,1
"233",1112224,0,0,0,0,0,0,0
"234",1112227,1,1,1,1,1,1,1
"235",1112229,1,1,1,0,1,1,1
"236",1112230,1,1,1,1,1,1,1
"237",1112231,0,0,0,0,0,0,0
"238",1112232,0,1,0,0,0,1,0
"239",1112238,0,0,0,0,0,0,0
"240",1112239,1,1,1,1,1,1,1
"241",1112241,0,0,0,0,0,0,0
"242",1112242,0,0,0,0,0,0,0
"243",1112243,0,1,1,0,0,1,1
"244",1112246,0,0,0,0,0,0,0
"245",1112248,0,0,0,0,0,0,0
"246",1112250,0,0,0,0,0,0,0
"247",1112251,0,0,0,0,0,0,0
"248",1112253,1,1,1,1,1,1,1
"249",1112254,0,0,0,0,0,0,0
"250",1112256,1,1,1,1,1,1,1
"251",1112258,1,1,1,1,1,1,0
"252",1112259,1,1,1,1,1,1,1
"253",1112385,0,0,0,0,0,1,1
"254",1112386,0,0,0,0,0,0,0
"255",1112387,1,1,1,1,1,1,1
"256",1112388,0,0,0,0,0,0,0
"257",1112390,0,0,0,0,0,0,1
