"","id","region","takeup_survey","age","agpop","educ","rice_inc","ricearea_2010","disaster_loss","insurance_repay","insurance_buy","disaster_prob","general_trust","male","default","delay","intensive","info_takeup_rate","info_takeup_list","info_none","understanding","day","risk_averse","literacy","educ_good","reveal","disaster_yes","address","village"
"1220",1118373,1,0,43,4,2,100,16,60,0,1,50,0,0,1,1,1,1,0,0,1,11,0,1,1,NA,1,107,20
"1221",1118374,1,1,51,6,3,40,20,30,0,1,20,1,1,1,0,1,0,0,1,0.60000002,9,0,1,1,0,1,107,20
"1222",1118377,1,0,38,5,2,100,15,20,1,0,30,0,1,1,0,1,0,0,1,0.80000001,9,1,1,1,0,1,107,20
"1223",1118378,1,1,48,4,1,70,17,NA,0,1,10,1,1,1,0,0,0,0,1,0.40000001,9,0.60000002,1,0,0,0,107,20
"1224",1118380,1,0,43,4,2,100,30,NA,0,0,50,1,1,1,1,1,0,0,1,1,11,0,1,1,NA,1,107,20
"1225",1118382,1,0,69,4,1,90,6,50,0,1,40,1,1,1,0,1,0,0,1,0.40000001,9,0,1,0,0,1,108,20
"1226",1118383,1,0,72,5,1,40,5,NA,0,0,50,1,1,1,0,0,0,0,1,0,9,0.40000001,1,0,NA,NA,108,20
"1227",1118384,1,1,63,3,1,NA,13,40,0,1,20,1,1,1,1,0,0,0,1,0.80000001,13,0,1,0,NA,1,108,20
"1228",1118385,1,1,35,4,2,100,27,15,0,0,5,1,1,1,1,0,0,0,1,0.60000002,13,0,1,1,NA,1,108,20
"1229",1118387,1,1,85,10,0,100,10,NA,0,1,20,1,0,1,1,1,0,0,1,0.2,13,0,0,0,NA,0,108,20
"1230",1118388,1,0,47,4,1,100,48,NA,0,1,50,1,1,1,1,1,0,1,0,1,13,0,1,0,NA,1,108,20
"1231",1118391,1,0,44,4,1,80,20,NA,0,1,40,1,1,1,1,1,0,1,0,0.60000002,13,0,1,0,NA,1,108,20
"1232",1118392,1,1,67,5,1,70,15,NA,0,0,50,1,1,1,1,1,0,0,1,1,13,0.39999998,1,0,NA,0,108,20
"1233",1118393,1,0,47,6,1,NA,20,NA,0,0,20,0,1,1,1,1,0,1,0,0.60000002,13,0,1,0,NA,1,108,20
