id,region,takeup_survey,age,agpop,educ,rice_inc,ricearea_2010,disaster_loss,insurance_repay,insurance_buy,disaster_prob,general_trust,male,default,delay,intensive,info_takeup_rate,info_takeup_list,info_none,understanding,day,risk_averse,literacy,educ_good,reveal,disaster_yes,address,village,network_obs,network_rate_preintensive,network_rate_presession,network_rate_pretakeup,network_rate_presimple,knowledge_network,friend1,friend2,friend3,friend4,friend5,network_onlyone,network_onlytwo,network_twomore,network_yes,network_twoside,secondnet_obs,network_second,mean_allnetindegree,mean_1steduc_indegree,mean_allnetpath_out_ind,mean_1steduc_path_out_ind,mean_allnetpath_in_ind,mean_1steduc_path_in_ind,mean_allneteigenvector,mean_1steduc_eigenvector,eigenvector,indegree,path_in_ind,path_out_ind
1111212,1,0,37,4,1,15,1,,0,0,30,1,1,1,1,0,0,1,0,1,6,0,1,0,,0,56,12,5,0,.2,1,.2,0,0,0,0,0,1,0,0,0,0,0,10,0,2.5,0,3.2228508,0,3.403358,0,.072230004,0,.02236964,3,4.5405407,3.8615384
1111214,1,1,37,4,1,,2.4,,1,0,0,1,1,1,0,1,0,0,1,,2,.39999998,1,0,0,0,56,12,5,0,.2,1,.2,0,0,0,0,0,1,0,0,0,0,0,10,.1,4.5,0,3.2087913,0,3.7837837,0,.079594478,0,.026274661,1,3.5135136,3.6923077
1111216,1,1,43,4,2,70,15,,0,0,50,1,1,1,1,0,1,0,0,.80000001,6,0,1,1,,,56,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111218,1,1,55,10,1,40,4.9,20,1,0,40,1,1,1,0,0,0,0,1,0,2,0,1,0,,1,56,12,5,.2,.40000001,1,.2,.40000001,0,0,0,0,1,1,0,0,1,0,18,.22222222,3,3,2.8461537,4,.62162161,0,.021778854,.020032056,.017779639,3,3.5945945,3.2461538
1111221,1,1,61,6,3,30,4,,0,0,50,1,1,1,1,0,1,0,0,.40000001,6,0,1,1,,0,56,12,5,.2,.2,0,0,0,0,0,0,0,1,1,0,0,1,0,13,0,3.6666667,2,1.9492997,2.6764705,3.4168625,2.6969697,.12323571,.14468069,.047363114,1,3.108108,3
1111222,1,1,66,2,1,60,3,50,1,0,20,0,1,1,0,0,0,0,1,.60000002,2,1,1,0,1,1,56,12,5,.40000001,1,.80000001,.60000002,.28,0,0,0,0,1,0,1,1,1,0,22,.27272728,2.8,3,3.5507693,3.6923077,2.6594594,1.5945946,.021019524,.021746464,.013854168,2,0,3.1384616
1111223,1,1,58,5,1,40,3,50,0,0,30,1,0,1,1,0,1,0,0,1,6,0,1,0,,1,56,12,5,0,0,,0,,0,0,0,0,1,0,0,0,0,0,8,0,3.6666667,0,1.2871795,0,2.9189188,0,.013939124,0,.0085423645,4,0,0
1111225,1,1,63,8,1,,3.4,,1,0,30,1,1,1,0,1,0,0,1,.2,2,0,1,0,0,,56,12,5,0,.2,1,.2,.60000002,0,0,0,0,1,0,0,0,0,0,10,.30000001,3.5,0,3.6153846,0,0,0,.016478367,0,.0082459543,2,0,3.7692308
1111228,1,1,46,5,2,70,15,,0,0,50,1,1,1,1,1,0,1,0,1,6,0,1,1,,,56,12,5,.2,.2,0,0,.80000001,0,0,0,0,1,1,0,0,1,0,19,.15789473,4.25,3,2.4340658,2.4285715,2.8028255,2.4545455,.086638652,.25751063,.019102568,5,0,4.0923076
1111229,1,0,34,5,1,30,2,,0,1,0,1,1,1,1,1,0,0,1,.40000001,6,1,1,0,,0,56,12,5,.2,.2,1,0,.2,0,0,0,0,1,1,0,0,1,0,15,.13333334,3.6666667,2,4.0153847,3.7692308,1.1711712,0,.011528262,.0082459543,.011044081,1,4,3.9846153
1111230,1,0,68,10,0,40,3.8,90,0,0,50,1,1,1,1,1,0,0,1,1,6,0,0,0,,1,56,12,5,0,0,,0,,0,0,0,0,1,0,0,0,0,0,8,0,3.6666667,0,1.2871795,0,2.9189188,0,.013939124,0,.010905365,4,4.2162161,0
1111232,1,1,46,3,3,100,15,10,1,0,0,1,1,1,0,1,0,0,1,.2,2,0,1,1,0,1,56,12,5,0,.2,0,.2,0,0,0,0,0,1,0,0,0,0,0,4,0,3,0,3.0294118,0,3.6060605,0,.061293121,0,.020032056,3,0,4
1111235,1,1,46,5,2,90,5,20,0,0,30,1,1,1,0,1,0,0,1,.80000001,2,0,1,1,0,1,56,12,5,.2,.80000001,.75,.60000002,.25,0,0,0,0,1,1,0,0,1,0,22,.090909094,3.8,2,3.8089592,3.7692308,2.267158,0,.02482642,.0082459543,.023460874,3,3.1891892,3.3846154
1111238,1,0,52,5,1,100,3.7,,0,0,20,0,1,1,1,1,1,0,0,.60000002,6,0,1,0,,0,56,12,5,0,0,,0,,0,0,0,0,1,0,0,0,0,0,10,.2,4.5,0,4.1384616,0,1.7567568,0,.013169416,0,.006707333,1,4.0270271,4.4153848
1111239,1,1,63,3,2,60,10,,0,0,50,1,1,1,1,1,1,0,0,1,6,0,1,1,,,56,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111240,1,1,68,11,1,30,5,65,0,0,20,1,1,1,0,0,0,0,1,0,2,0,1,0,1,1,56,12,5,0,.2,1,.2,.80000001,0,0,0,0,1,0,0,0,0,0,9,0,3.5,0,3.3843889,0,3.6736283,0,.0717244,0,.026211951,5,3.5945945,4.0615387
