"","x"
"1",1560
"2",1561
"3",1562
"4",1563
"5",1634
"6",2202
"7",2210
"8",2211
"9",2212
"10",2213
"11",2218
"12",2219
"13",2241
"14",2242
"15",2243
"16",2275
"17",2276
"18",2277
"19",2278
"20",2279
"21",2280
"22",2281
"23",2282
"24",2283
"25",2284
"26",2285
"27",2286
"28",2287
"29",2373
"30",2380
"31",2381
"32",2382
"33",2383
"34",2384
"35",2385
"36",2386
"37",2387
"38",2388
"39",2389
"40",2390
"41",2391
"42",2392
"43",2393
"44",2394
"45",2395
"46",2396
"47",2397
"48",2398
"49",2399
"50",2400
"51",2401
"52",2402
"53",2403
"54",2404
"55",2405
"56",2406
"57",2407
"58",2408
"59",2409
"60",2410
"61",2411
"62",2412
"63",2413
"64",2414
"65",2479
"66",2480
"67",2481
"68",2482
"69",2483
"70",2484
"71",2485
"72",2487
"73",2488
"74",2489
"75",2490
"76",2515
"77",2516
"78",2517
"79",2520
"80",2521
"81",2522
"82",2523
"83",2524
"84",2525
"85",2526
"86",2527
"87",2532
"88",2533
"89",2534
"90",2535
"91",2536
"92",2537
"93",2538
"94",2539
"95",2540
"96",2541
"97",2674
"98",2675
"99",2676
"100",2677
"101",2686
"102",2687
"103",2688
"104",2689
"105",2707
"106",2708
"107",2709
"108",2710
"109",2818
"110",2819
"111",2820
"112",2821
"113",2834
"114",3221
"115",3222
"116",3223
"117",3224
"118",3225
"119",3226
"120",3227
"121",3228
"122",3229
"123",3230
"124",3231
"125",3232
"126",3233
"127",3234
"128",3235
"129",3236
"130",3237
"131",3324
"132",3325
"133",3326
"134",3327
"135",3328
"136",3329
"137",3330
"138",3337
"139",3338
"140",3353
"141",3395
"142",3396
"143",3492
"144",3493
"145",3494
"146",3495
"147",3621
"148",3622
"149",3623
"150",3624
"151",3625
"152",3626
"153",3627
"154",3628
"155",4011
"156",4263
"157",4264
"158",4265
"159",4266
"160",4267
"161",4268
"162",4269
"163",4270
"164",4271
"165",4272
"166",4273
"167",4274
"168",4275
"169",4276
"170",4277
"171",4278
"172",4339
"173",4406
"174",4407
"175",4785
"176",4798
"177",4800
"178",4801
"179",4803
"180",4895
"181",4990
"182",4996
"183",4997
"184",5015
"185",5016
"186",5017
"187",5018
"188",5019
"189",5020
"190",5021
"191",5022
"192",5023
"193",5024
"194",5025
"195",5026
"196",5027
"197",5028
"198",5029
"199",5030
"200",5031
"201",5032
"202",5033
"203",5034
"204",5035
"205",5036
"206",5037
"207",5038
"208",5149
"209",5210
"210",5214
"211",5228
"212",5229
"213",5230
"214",5231
"215",5232
"216",5233
"217",5235
"218",5236
"219",5237
"220",5238
"221",5239
"222",5240
"223",5241
"224",5242
"225",5243
"226",5244
"227",5414
"228",5429
"229",5430
"230",5433
"231",5440
"232",5441
"233",5453
"234",5457
"235",5458
"236",5459
"237",5460
"238",5461
"239",5494
"240",5495
"241",5496
"242",5497
