"","x"
"1",2978
"2",2979
"3",2980
"4",2981
"5",2982
"6",2983
"7",2997
"8",2998
"9",2999
"10",3000
"11",3001
"12",3002
"13",3003
"14",3004
"15",3005
"16",3006
"17",3021
"18",3022
"19",3758
"20",3759
"21",3760
"22",3761
"23",3762
"24",3763
"25",3764
"26",3765
"27",3991
"28",3992
"29",3993
"30",3994
"31",3995
"32",3999
"33",4000
"34",4001
"35",4002
"36",4006
"37",4007
"38",4008
"39",4009
"40",4010
"41",4014
"42",4015
"43",4016
"44",4017
"45",4022
"46",4088
"47",4089
"48",4090
"49",4091
"50",4092
"51",4093
"52",4094
"53",4095
"54",4096
"55",4097
"56",4098
"57",4099
"58",4100
"59",4101
"60",4102
"61",4103
"62",4104
"63",4105
"64",4106
"65",4107
"66",4108
"67",4109
"68",4110
"69",4111
"70",4112
"71",4113
"72",4114
"73",4115
"74",4116
"75",4117
"76",4118
"77",4119
"78",4120
"79",4121
"80",4122
"81",4123
"82",4124
"83",4125
"84",4126
"85",4127
"86",4152
"87",4153
"88",4154
"89",4155
"90",4156
"91",4157
"92",4158
"93",4159
"94",4160
"95",4161
"96",4162
"97",4163
"98",4164
"99",4165
"100",4178
"101",4179
"102",4180
"103",4181
"104",4182
"105",4183
"106",4184
"107",4185
"108",4186
"109",4187
"110",4188
"111",4189
"112",4190
"113",4191
"114",4192
"115",4193
"116",4194
"117",4195
"118",4196
"119",4197
"120",4198
"121",4199
"122",4200
"123",4201
"124",4202
"125",4203
"126",4204
"127",4205
"128",4206
"129",4207
"130",4208
"131",4209
"132",4210
"133",4211
"134",4212
"135",4213
"136",4214
"137",4215
"138",4216
"139",4217
"140",4218
"141",4219
"142",4220
"143",4221
"144",4222
"145",4223
"146",4224
"147",4225
"148",4226
"149",4227
"150",4228
"151",4229
"152",4230
"153",4231
"154",4232
"155",4233
"156",4238
"157",4239
"158",4240
"159",4241
"160",4242
"161",4243
"162",4244
"163",4245
"164",4246
"165",4247
"166",4248
"167",4249
"168",4250
"169",4251
"170",4252
"171",4253
"172",4254
"173",4255
"174",4256
"175",4257
"176",4258
"177",4259
"178",4260
"179",4261
"180",4262
"181",4263
"182",4264
"183",4265
"184",4266
"185",4267
"186",4268
"187",4269
"188",4270
"189",4271
"190",4272
"191",4273
"192",4274
"193",4275
"194",4276
"195",4277
"196",4281
"197",4282
"198",4283
"199",4284
"200",4285
"201",4286
"202",4287
"203",4288
"204",4289
"205",4290
"206",4291
"207",4292
"208",4293
"209",4294
"210",4295
"211",4296
"212",4297
"213",4298
"214",4299
"215",4300
"216",4301
"217",4302
"218",4303
"219",4304
"220",4305
"221",4306
"222",4307
"223",4308
"224",4309
"225",4310
"226",4311
"227",4312
"228",4313
"229",4314
"230",4315
"231",4316
"232",4317
"233",4318
"234",4319
"235",4320
"236",4321
"237",4322
"238",4323
"239",4324
"240",4325
"241",4326
"242",4327
"243",4328
"244",4329
"245",4330
"246",4331
"247",4332
"248",4333
"249",4334
"250",4335
"251",4336
"252",4337
"253",4338
"254",4339
"255",4340
"256",4341
"257",4342
"258",4343
"259",4344
"260",4345
"261",4346
"262",4347
"263",4348
"264",4349
"265",4350
"266",4351
"267",4352
"268",4353
"269",4354
"270",4355
"271",4356
