"","x"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",8
"9",9
"10",10
"11",11
"12",12
"13",13
"14",14
"15",15
"16",16
"17",17
"18",18
"19",19
"20",20
"21",21
"22",22
"23",23
"24",24
"25",25
"26",26
"27",27
"28",28
"29",29
"30",30
"31",31
"32",32
"33",33
"34",34
"35",35
"36",36
"37",37
"38",38
"39",39
"40",40
"41",41
"42",42
"43",43
"44",44
"45",45
"46",46
"47",47
"48",48
"49",49
"50",50
"51",51
"52",52
"53",53
"54",54
"55",55
"56",56
"57",57
"58",58
"59",59
"60",60
"61",61
"62",62
"63",63
"64",64
"65",65
"66",66
"67",67
"68",68
"69",69
"70",70
"71",71
"72",72
"73",73
"74",74
"75",75
"76",76
"77",77
"78",78
"79",79
"80",80
"81",81
"82",82
"83",83
"84",84
"85",85
"86",86
"87",87
"88",88
"89",89
"90",90
"91",91
"92",92
"93",93
"94",94
"95",95
"96",96
"97",97
"98",98
"99",99
"100",100
"101",110
"102",118
"103",123
"104",124
"105",142
"106",143
"107",144
"108",145
"109",146
"110",147
"111",152
"112",153
"113",157
"114",159
"115",160
"116",161
"117",162
"118",165
"119",180
"120",182
"121",183
"122",187
"123",189
"124",191
"125",192
"126",193
"127",194
"128",195
"129",196
"130",197
"131",219
"132",221
"133",222
"134",224
"135",225
"136",230
"137",231
"138",235
"139",236
"140",238
"141",239
"142",240
"143",241
"144",243
"145",244
"146",247
"147",248
"148",249
"149",251
"150",262
"151",263
"152",266
"153",267
"154",268
"155",271
"156",272
"157",284
"158",288
"159",290
"160",312
"161",319
"162",323
"163",324
"164",325
"165",326
"166",329
"167",333
"168",334
"169",346
"170",361
"171",362
"172",363
"173",364
"174",365
"175",366
"176",408
"177",409
"178",410
"179",411
"180",412
"181",413
"182",414
"183",415
"184",416
"185",418
"186",419
"187",443
"188",444
"189",446
"190",452
"191",455
"192",456
"193",457
"194",458
"195",459
"196",560
"197",561
"198",562
"199",582
"200",664
"201",665
"202",1260
"203",6505
"204",6506
"205",9919
"206",9920
"207",9922
"208",9973
