"","x"
"1",2997
"2",3991
"3",3992
"4",3993
"5",3994
"6",3995
"7",3999
"8",4000
"9",4001
"10",4002
"11",4006
"12",4007
"13",4008
"14",4009
"15",4010
"16",4014
"17",4015
"18",4016
"19",4017
"20",4238
"21",4239
"22",4240
"23",4241
"24",4242
"25",4243
"26",4281
"27",4282
"28",4283
"29",4284
"30",4415
"31",4416
"32",4432
"33",4718
"34",4719
"35",4720
"36",4721
"37",4722
"38",4723
"39",4724
"40",4725
"41",4726
"42",4727
"43",4728
"44",4729
"45",4730
"46",4731
"47",4732
"48",4733
"49",4734
"50",4735
"51",4736
"52",4737
"53",4738
"54",4739
"55",4740
"56",4741
"57",4742
"58",4743
"59",4744
"60",4745
"61",4746
"62",4747
"63",4748
"64",4749
"65",4750
"66",4751
"67",4752
"68",4753
"69",4754
"70",4755
"71",4756
"72",4757
"73",4758
"74",4759
"75",4760
"76",4761
"77",4762
"78",4763
"79",4764
"80",4765
"81",4766
"82",4767
"83",4768
"84",4769
"85",4770
"86",4771
"87",4772
"88",4773
"89",4774
"90",4775
"91",4776
"92",4777
"93",4778
"94",4779
"95",4780
"96",4781
"97",4782
"98",4783
"99",4784
"100",4785
"101",4786
"102",4787
"103",4788
"104",4789
"105",4790
"106",4791
"107",4792
"108",4793
"109",4794
"110",4795
"111",4796
"112",4797
"113",4798
"114",4799
"115",4800
"116",4801
"117",4802
"118",4803
"119",4804
"120",4805
"121",4806
"122",4807
"123",4808
"124",4809
"125",4810
"126",4811
"127",4812
"128",4813
"129",4814
"130",4815
"131",4816
"132",4817
"133",4818
"134",4819
"135",4820
"136",4821
"137",4822
"138",4823
"139",4824
"140",4825
"141",4826
"142",4827
"143",4828
"144",4829
"145",4830
"146",4831
"147",4832
"148",4833
"149",4834
"150",4835
"151",4836
"152",4837
"153",4838
"154",4839
"155",4840
"156",4841
"157",4842
"158",4843
"159",4844
"160",4845
"161",4846
"162",4847
"163",4848
"164",4849
"165",4850
"166",4851
"167",4852
"168",4853
"169",4854
"170",4855
"171",4856
"172",4857
"173",4858
"174",4859
"175",4860
"176",4861
"177",4862
"178",4863
"179",4864
"180",4865
"181",4866
"182",4867
"183",4868
"184",4869
"185",4870
"186",4871
"187",4872
"188",4873
"189",4874
"190",4875
"191",4876
"192",4877
"193",4878
"194",4879
"195",4880
"196",4881
"197",4882
