"","x"
"1",6478
"2",6787
"3",6898
"4",6900
"5",8051
"6",8136
"7",8263
"8",8350
"9",8457
"10",8472
"11",8594
"12",8595
"13",8596
"14",8597
"15",8598
"16",8599
"17",8600
"18",8601
"19",8661
"20",8976
"21",8977
"22",8978
"23",8980
"24",8997
"25",9015
"26",9016
"27",9017
"28",9018
"29",9733
"30",9734
"31",9735
"32",9736
"33",9737
"34",9738
"35",9739
"36",9740
"37",9741
"38",9742
"39",9743
"40",9744
"41",9745
"42",9746
"43",9747
"44",9748
"45",9749
"46",9750
"47",9751
"48",9752
"49",9753
"50",9754
"51",9755
"52",9756
"53",9757
"54",9759
"55",9760
"56",9761
"57",9762
"58",9763
"59",9764
"60",9855
"61",9893
"62",9894
"63",9895
"64",9941
"65",9964
