	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey
						
_Ivilid_30	-0.275*	-0.308*	-0.192	-0.275*	-0.308*	-0.192
	(0.140)	(0.167)	(0.143)	(0.140)	(0.167)	(0.143)
_Ivilid_31	-0.234***	-0.316***	-0.181***	-0.234***	-0.316***	-0.181***
	(0.0171)	(0.0760)	(0.0186)	(0.0171)	(0.0760)	(0.0186)
_Ivilid_32	0.0269		0.111	0.0269		0.111
	(0.0823)		(0.0889)	(0.0823)		(0.0889)
_Ivilid_33	-0.0432	-0.104	0.0155	-0.0432	-0.104	0.0155
	(0.0399)	(0.0837)	(0.0409)	(0.0399)	(0.0837)	(0.0409)
_Ivilid_34	-0.0985	-0.157	-0.0283	-0.0985	-0.157	-0.0283
	(0.223)	(0.227)	(0.216)	(0.223)	(0.227)	(0.216)
_Ivilid_35	-0.402***	-0.468***	-0.339***	-0.402***	-0.468***	-0.339***
	(0.0164)	(0.0726)	(0.0303)	(0.0164)	(0.0726)	(0.0303)
_Ivilid_36	-0.387***	-0.444***	-0.344***	-0.387***	-0.444***	-0.344***
	(0.0958)	(0.118)	(0.101)	(0.0958)	(0.118)	(0.101)
_Ivilid_37	-0.229***	-0.271***	-0.150***	-0.229***	-0.271***	-0.150***
	(0.0227)	(0.0781)	(0.0279)	(0.0227)	(0.0781)	(0.0279)
_Ivilid_38	-0.140	-0.205	-0.0851	-0.140	-0.205	-0.0851
	(0.180)	(0.199)	(0.183)	(0.180)	(0.199)	(0.183)
_Ivilid_39	-0.187	-0.249	-0.106	-0.187	-0.249	-0.106
	(0.125)	(0.155)	(0.136)	(0.125)	(0.155)	(0.136)
_Ivilid_40	-0.311**	-0.364**	-0.257	-0.311**	-0.364**	-0.257
	(0.151)	(0.169)	(0.157)	(0.151)	(0.169)	(0.157)
_Ivilid_41	-0.175*	-0.240**	-0.152*	-0.175*	-0.240**	-0.152*
	(0.0968)	(0.114)	(0.0884)	(0.0968)	(0.114)	(0.0884)
_Ivilid_42	-0.317***	-0.364***	-0.248***	-0.317***	-0.364***	-0.248***
	(0.0497)	(0.0880)	(0.0508)	(0.0497)	(0.0880)	(0.0508)
_Ivilid_43	0.368***	0.320***	0.457***	0.368***	0.320***	0.457***
	(0.0279)	(0.0825)	(0.0324)	(0.0279)	(0.0825)	(0.0324)
_Ivilid_44	-0.141	-0.200	-0.0827	-0.141	-0.200	-0.0827
	(0.125)	(0.141)	(0.112)	(0.125)	(0.141)	(0.112)
_Ivilid_45	0.0503	-0.0158	0.111	0.0503	-0.0158	0.111
	(0.0882)	(0.121)	(0.0938)	(0.0882)	(0.121)	(0.0938)
_Ivilid_46	-0.329***	-0.388***	-0.268***	-0.329***	-0.388***	-0.268***
	(0.0352)	(0.0839)	(0.0359)	(0.0352)	(0.0839)	(0.0359)
_Ivilid_47	-0.285***	-0.342***	-0.238***	-0.285***	-0.342***	-0.238***
	(0.0684)	(0.104)	(0.0723)	(0.0684)	(0.104)	(0.0723)
network_second		0.180			0.180	
		(0.140)			(0.140)	
_Ivilid_27		-0.0761			-0.0761	
		(0.0769)			(0.0769)	
o._Ivilid_32		-			-	
						
network_onlyone			0.0531*			0.0531*
			(0.0315)			(0.0315)
network_onlytwo			0.111			0.111
			(0.0818)			(0.0818)
network_twomore			0.0750			0.0750
			(0.0708)			(0.0708)
Constant	-0.0873	0.0369	-0.105	-0.0873	0.0369	-0.105
	(0.143)	(0.104)	(0.0986)	(0.143)	(0.104)	(0.0986)
						
Observations	1,255	1,247	1,255	1,255	1,247	1,255
R-squared	0.113	0.109	0.123	0.113	0.109	0.123
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
