	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey
										
_Ivilid_19	-0.292***	-0.292***	-0.289***	-0.293***	-0.414***	-0.292***	-0.292***	-0.289***	-0.293***	-0.414***
	(0.0704)	(0.0673)	(0.0727)	(0.0707)	(0.106)	(0.0704)	(0.0673)	(0.0727)	(0.0707)	(0.106)
_Ivilid_20	-0.132	-0.120	-0.124	-0.132	-0.452*	-0.132	-0.120	-0.124	-0.132	-0.452*
	(0.123)	(0.121)	(0.122)	(0.122)	(0.263)	(0.123)	(0.121)	(0.122)	(0.122)	(0.263)
_Ivilid_21	-0.246***	-0.237***	-0.236***	-0.245***	-0.447***	-0.246***	-0.237***	-0.236***	-0.245***	-0.447***
	(0.0580)	(0.0584)	(0.0597)	(0.0588)	(0.154)	(0.0580)	(0.0584)	(0.0597)	(0.0588)	(0.154)
_Ivilid_22	-0.285*	-0.277	-0.284*	-0.285*	-0.220	-0.285*	-0.277	-0.284*	-0.285*	-0.220
	(0.169)	(0.171)	(0.167)	(0.170)	(0.181)	(0.169)	(0.171)	(0.167)	(0.170)	(0.181)
_Ivilid_23	-0.256**	-0.228*	-0.263**	-0.252**	-0.635**	-0.256**	-0.228*	-0.263**	-0.252**	-0.635**
	(0.107)	(0.123)	(0.111)	(0.106)	(0.297)	(0.107)	(0.123)	(0.111)	(0.106)	(0.297)
_Ivilid_24	-0.118*	-0.125*	-0.120*	-0.118*	-0.234**	-0.118*	-0.125*	-0.120*	-0.118*	-0.234**
	(0.0658)	(0.0632)	(0.0675)	(0.0657)	(0.104)	(0.0658)	(0.0632)	(0.0675)	(0.0657)	(0.104)
_Ivilid_25	0.0227	0.0203	0.0124	0.0252	-0.114	0.0227	0.0203	0.0124	0.0252	-0.114
	(0.0748)	(0.0774)	(0.0754)	(0.0742)	(0.124)	(0.0748)	(0.0774)	(0.0754)	(0.0742)	(0.124)
_Ivilid_26	0.0943	0.0900	0.0874	0.0960	0.199	0.0943	0.0900	0.0874	0.0960	0.199
	(0.112)	(0.110)	(0.114)	(0.113)	(0.132)	(0.112)	(0.110)	(0.114)	(0.113)	(0.132)
_Ivilid_27	-0.190**	-0.194**	-0.199**	-0.190**	-0.298**	-0.190**	-0.194**	-0.199**	-0.190**	-0.298**
	(0.0954)	(0.0936)	(0.100)	(0.0957)	(0.126)	(0.0954)	(0.0936)	(0.100)	(0.0957)	(0.126)
_Ivilid_28	0.0683	0.0676	0.0704	0.0698	-0.0511	0.0683	0.0676	0.0704	0.0698	-0.0511
	(0.0835)	(0.0748)	(0.0824)	(0.0839)	(0.120)	(0.0835)	(0.0748)	(0.0824)	(0.0839)	(0.120)
_Ivilid_29	-0.382***	-0.361***	-0.377***	-0.382***	-0.610***	-0.382***	-0.361***	-0.377***	-0.382***	-0.610***
	(0.0799)	(0.0888)	(0.0794)	(0.0821)	(0.184)	(0.0799)	(0.0888)	(0.0794)	(0.0821)	(0.184)
_Ivilid_30	-0.271***	-0.277***	-0.271***	-0.272***	-0.680**	-0.271***	-0.277***	-0.271***	-0.272***	-0.680**
	(0.0872)	(0.0881)	(0.0878)	(0.0879)	(0.311)	(0.0872)	(0.0881)	(0.0878)	(0.0879)	(0.311)
_Ivilid_31	0.0915***	0.116***	0.0794***	0.0916***	0.00728	0.0915***	0.116***	0.0794***	0.0916***	0.00728
